time,age_group,cell,location_x,location_y,InfectionStatus.Susceptible,InfectionStatus.Exposed,InfectionStatus.InfectASympt,InfectionStatus.InfectMild,InfectionStatus.InfectGP,InfectionStatus.InfectHosp,InfectionStatus.InfectICU,InfectionStatus.InfectICURecov,InfectionStatus.Recovered,InfectionStatus.Dead,InfectionStatus.Vaccinated
1.0,10,8,2,0,66,0,0,0,0,0,0,0,0,0,0
1.0,11,8,2,0,61,0,0,0,0,0,0,0,0,0,0
1.0,12,8,2,0,47,0,0,0,0,0,0,0,0,0,0
1.0,13,8,2,0,34,0,0,0,0,0,0,0,0,0,0
1.0,14,8,2,0,33,0,0,0,0,0,0,0,0,0,0
1.0,15,8,2,0,25,0,0,0,0,0,0,0,0,0,0
1.0,16,8,2,0,24,0,0,0,0,0,0,0,0,0,0
1.0,17,8,2,0,38,0,0,0,0,0,0,0,0,0,0
1.0,1,9,2,1,5,0,0,0,0,0,0,0,0,0,0
1.0,2,9,2,1,10,0,0,0,0,0,0,0,0,0,0
1.0,3,9,2,1,12,0,0,0,0,0,0,0,0,0,0
1.0,4,9,2,1,17,0,0,0,0,0,0,0,0,0,0
1.0,5,9,2,1,43,0,0,0,0,0,0,0,0,0,0
1.0,6,9,2,1,39,0,0,0,0,0,0,0,0,0,0
1.0,7,9,2,1,37,0,0,0,0,0,0,0,0,0,0
1.0,8,9,2,1,55,0,0,0,0,0,0,0,0,0,0
1.0,9,9,2,1,77,0,0,0,0,0,0,0,0,0,0
1.0,10,9,2,1,75,0,0,0,0,0,0,0,0,0,0
1.0,11,9,2,1,57,0,0,0,0,0,0,0,0,0,0
1.0,12,9,2,1,48,0,0,0,0,0,0,0,0,0,0
1.0,13,9,2,1,32,0,0,0,0,0,0,0,0,0,0
1.0,14,9,2,1,26,0,0,0,0,0,0,0,0,0,0
1.0,15,9,2,1,31,0,0,0,0,0,0,0,0,0,0
1.0,16,9,2,1,19,0,0,0,0,0,0,0,0,0,0
1.0,17,9,2,1,38,0,0,0,0,0,0,0,0,0,0
1.0,1,10,2,2,7,0,0,0,0,0,0,0,0,0,0
1.0,2,10,2,2,6,0,0,0,0,0,0,0,0,0,0
1.0,3,10,2,2,9,0,0,0,0,0,0,0,0,0,0
1.0,4,10,2,2,14,0,0,0,0,0,0,0,0,0,0
1.0,5,10,2,2,54,0,0,0,0,0,0,0,0,0,0
1.0,6,10,2,2,42,0,0,0,0,0,0,0,0,0,0
1.0,7,10,2,2,48,0,0,0,0,0,0,0,0,0,0
1.0,8,10,2,2,52,0,0,0,0,0,0,0,0,0,0
1.0,9,10,2,2,65,0,0,0,0,0,0,0,0,0,0
1.0,10,10,2,2,65,0,0,0,0,0,0,0,0,0,0
1.0,11,10,2,2,58,0,0,0,0,0,0,0,0,0,0
1.0,12,10,2,2,43,0,0,0,0,0,0,0,0,0,0
1.0,13,10,2,2,28,0,0,0,0,0,0,0,0,0,0
1.0,14,10,2,2,30,0,0,0,0,0,0,0,0,0,0
1.0,15,10,2,2,37,0,0,0,0,0,0,0,0,0,0
1.0,16,10,2,2,20,0,0,0,0,0,0,0,0,0,0
1.0,17,10,2,2,43,0,0,0,0,0,0,0,0,0,0
1.0,1,11,2,3,6,0,0,0,0,0,0,0,0,0,0
1.0,2,11,2,3,14,0,0,0,0,0,0,0,0,0,0
1.0,3,11,2,3,12,0,0,0,0,0,0,0,0,0,0
1.0,4,11,2,3,5,0,0,0,0,0,0,0,0,0,0
1.0,5,11,2,3,42,0,0,0,0,0,0,0,0,0,0
1.0,6,11,2,3,45,0,0,0,0,0,0,0,0,0,0
1.0,7,11,2,3,58,0,0,0,0,0,0,0,0,0,0
1.0,8,11,2,3,64,0,0,0,0,0,0,0,0,0,0
1.0,9,11,2,3,83,0,0,0,0,0,0,0,0,0,0
1.0,10,11,2,3,61,0,0,0,0,0,0,0,0,0,0
1.0,11,11,2,3,43,0,0,0,0,0,0,0,0,0,0
1.0,12,11,2,3,42,0,0,0,0,0,0,0,0,0,0
1.0,13,11,2,3,33,0,0,0,0,0,0,0,0,0,0
1.0,14,11,2,3,23,0,0,0,0,0,0,0,0,0,0
1.0,15,11,2,3,30,0,0,0,0,0,0,0,0,0,0
1.0,16,11,2,3,27,0,0,0,0,0,0,0,0,0,0
1.0,17,11,2,3,33,0,0,0,0,0,0,0,0,0,0
1.0,1,12,3,0,11,0,0,1,0,0,0,0,0,0,0
1.0,2,12,3,0,10,0,0,1,0,0,0,0,0,0,0
1.0,3,12,3,0,6,0,0,0,0,0,0,0,0,0,0
1.0,4,12,3,0,16,0,0,0,0,0,0,0,0,0,0
1.0,5,12,3,0,34,0,0,2,0,0,0,0,0,0,0
1.0,6,12,3,0,39,0,0,0,0,0,0,0,0,0,0
1.0,7,12,3,0,49,0,0,0,0,0,0,0,0,0,0
1.0,8,12,3,0,61,0,0,1,0,0,0,0,0,0,0
1.0,9,12,3,0,61,0,0,1,0,0,0,0,0,0,0
1.0,10,12,3,0,60,0,0,0,0,0,0,0,0,0,0
1.0,11,12,3,0,57,0,0,1,0,0,0,0,0,0,0
1.0,12,12,3,0,64,0,0,0,0,0,0,0,0,0,0
1.0,13,12,3,0,29,0,0,0,0,0,0,0,0,0,0
1.0,14,12,3,0,32,0,0,0,0,0,0,0,0,0,0
1.0,15,12,3,0,30,0,0,2,0,0,0,0,0,0,0
1.0,16,12,3,0,16,0,0,1,0,0,0,0,0,0,0
1.0,17,12,3,0,36,0,0,0,0,0,0,0,0,0,0
1.0,1,13,3,1,9,0,0,0,0,0,0,0,0,0,0
1.0,2,13,3,1,9,0,0,0,0,0,0,0,0,0,0
1.0,3,13,3,1,9,0,0,0,0,0,0,0,0,0,0
1.0,4,13,3,1,26,0,0,0,0,0,0,0,0,0,0
1.0,5,13,3,1,32,0,0,0,0,0,0,0,0,0,0
1.0,6,13,3,1,44,0,0,0,0,0,0,0,0,0,0
1.0,7,13,3,1,51,0,0,0,0,0,0,0,0,0,0
1.0,8,13,3,1,69,0,0,0,0,0,0,0,0,0,0
1.0,9,13,3,1,64,0,0,0,0,0,0,0,0,0,0
1.0,10,13,3,1,58,0,0,0,0,0,0,0,0,0,0
1.0,11,13,3,1,46,0,0,0,0,0,0,0,0,0,0
1.0,12,13,3,1,54,0,0,0,0,0,0,0,0,0,0
1.0,13,13,3,1,33,0,0,0,0,0,0,0,0,0,0
1.0,14,13,3,1,25,0,0,0,0,0,0,0,0,0,0
1.0,15,13,3,1,27,0,0,0,0,0,0,0,0,0,0
1.0,16,13,3,1,28,0,0,0,0,0,0,0,0,0,0
1.0,17,13,3,1,37,0,0,0,0,0,0,0,0,0,0
1.0,1,14,3,2,5,0,0,0,0,0,0,0,0,0,0
1.0,2,14,3,2,7,0,0,0,0,0,0,0,0,0,0
1.0,3,14,3,2,9,0,0,0,0,0,0,0,0,0,0
1.0,4,14,3,2,12,0,0,0,0,0,0,0,0,0,0
1.0,5,14,3,2,34,0,0,0,0,0,0,0,0,0,0
1.0,6,14,3,2,60,0,0,0,0,0,0,0,0,0,0
1.0,7,14,3,2,58,0,0,0,0,0,0,0,0,0,0
1.0,8,14,3,2,53,0,0,0,0,0,0,0,0,0,0
1.0,9,14,3,2,61,0,0,0,0,0,0,0,0,0,0
1.0,10,14,3,2,70,0,0,0,0,0,0,0,0,0,0
1.0,11,14,3,2,53,0,0,0,0,0,0,0,0,0,0
1.0,12,14,3,2,45,0,0,0,0,0,0,0,0,0,0
1.0,13,14,3,2,41,0,0,0,0,0,0,0,0,0,0
1.0,14,14,3,2,28,0,0,0,0,0,0,0,0,0,0
1.0,15,14,3,2,27,0,0,0,0,0,0,0,0,0,0
1.0,16,14,3,2,22,0,0,0,0,0,0,0,0,0,0
1.0,17,14,3,2,36,0,0,0,0,0,0,0,0,0,0
1.0,1,15,3,3,6,0,0,0,0,0,0,0,0,0,0
1.0,2,15,3,3,11,0,0,0,0,0,0,0,0,0,0
1.0,3,15,3,3,7,0,0,0,0,0,0,0,0,0,0
1.0,4,15,3,3,19,0,0,0,0,0,0,0,0,0,0
1.0,5,15,3,3,35,0,0,0,0,0,0,0,0,0,0
1.0,6,15,3,3,31,0,0,0,0,0,0,0,0,0,0
1.0,7,15,3,3,60,0,0,0,0,0,0,0,0,0,0
1.0,8,15,3,3,49,0,0,0,0,0,0,0,0,0,0
1.0,9,15,3,3,75,0,0,0,0,0,0,0,0,0,0
1.0,10,15,3,3,61,0,0,0,0,0,0,0,0,0,0
1.0,11,15,3,3,63,0,0,0,0,0,0,0,0,0,0
1.0,12,15,3,3,50,0,0,0,0,0,0,0,0,0,0
1.0,13,15,3,3,31,0,0,0,0,0,0,0,0,0,0
1.0,14,15,3,3,25,0,0,0,0,0,0,0,0,0,0
1.0,15,15,3,3,34,0,0,0,0,0,0,0,0,0,0
1.0,16,15,3,3,33,0,0,0,0,0,0,0,0,0,0
1.0,17,15,3,3,31,0,0,0,0,0,0,0,0,0,0
2.0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
2.0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0
2.0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0
2.0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0
2.0,5,0,0,0,33,0,0,0,0,0,0,0,0,0,0
2.0,6,0,0,0,37,0,0,0,0,0,0,0,0,0,0
2.0,7,0,0,0,42,0,0,0,0,0,0,0,0,0,0
2.0,8,0,0,0,58,0,0,0,0,0,0,0,0,0,0
2.0,9,0,0,0,61,0,0,0,0,0,0,0,0,0,0
2.0,10,0,0,0,56,0,0,0,0,0,0,0,0,0,0
2.0,11,0,0,0,64,0,0,0,0,0,0,0,0,0,0
2.0,12,0,0,0,53,0,0,0,0,0,0,0,0,0,0
2.0,13,0,0,0,33,0,0,0,0,0,0,0,0,0,0
2.0,14,0,0,0,29,0,0,0,0,0,0,0,0,0,0
2.0,15,0,0,0,35,0,0,0,0,0,0,0,0,0,0
2.0,16,0,0,0,29,0,0,0,0,0,0,0,0,0,0
2.0,17,0,0,0,53,0,0,0,0,0,0,0,0,0,0
2.0,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0
2.0,2,1,0,1,9,0,0,0,0,0,0,0,0,0,0
2.0,3,1,0,1,9,0,0,0,0,0,0,0,0,0,0
2.0,4,1,0,1,12,0,0,0,0,0,0,0,0,0,0
2.0,5,1,0,1,48,0,0,0,0,0,0,0,0,0,0
2.0,6,1,0,1,38,0,0,0,0,0,0,0,0,0,0
2.0,7,1,0,1,35,0,0,0,0,0,0,0,0,0,0
2.0,8,1,0,1,58,0,0,0,0,0,0,0,0,0,0
2.0,9,1,0,1,59,0,0,0,0,0,0,0,0,0,0
2.0,10,1,0,1,71,0,0,0,0,0,0,0,0,0,0
2.0,11,1,0,1,66,0,0,0,0,0,0,0,0,0,0
2.0,12,1,0,1,37,0,0,0,0,0,0,0,0,0,0
2.0,13,1,0,1,45,0,0,0,0,0,0,0,0,0,0
2.0,14,1,0,1,35,0,0,0,0,0,0,0,0,0,0
2.0,15,1,0,1,32,0,0,0,0,0,0,0,0,0,0
2.0,16,1,0,1,24,0,0,0,0,0,0,0,0,0,0
2.0,17,1,0,1,38,0,0,0,0,0,0,0,0,0,0
2.0,1,2,0,2,6,0,0,0,0,0,0,0,0,0,0
2.0,2,2,0,2,7,0,0,0,0,0,0,0,0,0,0
2.0,3,2,0,2,4,0,0,0,0,0,0,0,0,0,0
2.0,4,2,0,2,15,0,0,0,0,0,0,0,0,0,0
2.0,5,2,0,2,43,0,0,0,0,0,0,0,0,0,0
2.0,6,2,0,2,39,0,0,0,0,0,0,0,0,0,0
2.0,7,2,0,2,38,0,0,0,0,0,0,0,0,0,0
2.0,8,2,0,2,50,0,0,0,0,0,0,0,0,0,0
2.0,9,2,0,2,67,0,0,0,0,0,0,0,0,0,0
2.0,10,2,0,2,60,0,0,0,0,0,0,0,0,0,0
2.0,11,2,0,2,61,0,0,0,0,0,0,0,0,0,0
2.0,12,2,0,2,44,0,0,0,0,0,0,0,0,0,0
2.0,13,2,0,2,32,0,0,0,0,0,0,0,0,0,0
2.0,14,2,0,2,40,0,0,0,0,0,0,0,0,0,0
2.0,15,2,0,2,44,0,0,0,0,0,0,0,0,0,0
2.0,16,2,0,2,31,0,0,0,0,0,0,0,0,0,0
2.0,17,2,0,2,40,0,0,0,0,0,0,0,0,0,0
2.0,1,3,0,3,5,0,0,0,0,0,0,0,0,0,0
2.0,2,3,0,3,5,0,0,0,0,0,0,0,0,0,0
2.0,3,3,0,3,13,0,0,0,0,0,0,0,0,0,0
2.0,4,3,0,3,14,0,0,0,0,0,0,0,0,0,0
2.0,5,3,0,3,30,0,0,0,0,0,0,0,0,0,0
2.0,6,3,0,3,39,0,0,0,0,0,0,0,0,0,0
2.0,7,3,0,3,33,0,0,0,0,0,0,0,0,0,0
2.0,8,3,0,3,57,0,0,0,0,0,0,0,0,0,0
2.0,9,3,0,3,81,0,0,0,0,0,0,0,0,0,0
2.0,10,3,0,3,57,0,0,0,0,0,0,0,0,0,0
2.0,11,3,0,3,69,0,0,0,0,0,0,0,0,0,0
2.0,12,3,0,3,49,0,0,0,0,0,0,0,0,0,0
2.0,13,3,0,3,44,0,0,0,0,0,0,0,0,0,0
2.0,14,3,0,3,30,0,0,0,0,0,0,0,0,0,0
2.0,15,3,0,3,28,0,0,0,0,0,0,0,0,0,0
2.0,16,3,0,3,27,0,0,0,0,0,0,0,0,0,0
2.0,17,3,0,3,40,0,0,0,0,0,0,0,0,0,0
2.0,1,4,1,0,3,0,0,0,0,0,0,0,0,0,0
2.0,2,4,1,0,5,0,0,0,0,0,0,0,0,0,0
2.0,3,4,1,0,8,0,0,0,0,0,0,0,0,0,0
2.0,4,4,1,0,19,0,0,0,0,0,0,0,0,0,0
2.0,5,4,1,0,38,0,0,0,0,0,0,0,0,0,0
2.0,6,4,1,0,34,0,0,0,0,0,0,0,0,0,0
2.0,7,4,1,0,66,0,0,0,0,0,0,0,0,0,0
2.0,8,4,1,0,39,0,0,0,0,0,0,0,0,0,0
2.0,9,4,1,0,63,0,0,0,0,0,0,0,0,0,0
2.0,10,4,1,0,58,0,0,0,0,0,0,0,0,0,0
2.0,11,4,1,0,62,0,0,0,0,0,0,0,0,0,0
2.0,12,4,1,0,56,0,0,0,0,0,0,0,0,0,0
2.0,13,4,1,0,44,0,0,0,0,0,0,0,0,0,0
2.0,14,4,1,0,35,0,0,0,0,0,0,0,0,0,0
2.0,15,4,1,0,30,0,0,0,0,0,0,0,0,0,0
2.0,16,4,1,0,20,0,0,0,0,0,0,0,0,0,0
2.0,17,4,1,0,41,0,0,0,0,0,0,0,0,0,0
2.0,1,5,1,1,7,0,0,0,0,0,0,0,0,0,0
2.0,2,5,1,1,11,0,0,0,0,0,0,0,0,0,0
2.0,3,5,1,1,7,0,0,0,0,0,0,0,0,0,0
2.0,4,5,1,1,7,0,0,0,0,0,0,0,0,0,0
2.0,5,5,1,1,32,0,0,0,0,0,0,0,0,0,0
2.0,6,5,1,1,40,0,0,0,0,0,0,0,0,0,0
2.0,7,5,1,1,35,0,0,0,0,0,0,0,0,0,0
2.0,8,5,1,1,73,0,0,0,0,0,0,0,0,0,0
2.0,9,5,1,1,77,0,0,0,0,0,0,0,0,0,0
2.0,10,5,1,1,56,0,0,0,0,0,0,0,0,0,0
2.0,11,5,1,1,32,0,0,0,0,0,0,0,0,0,0
2.0,12,5,1,1,45,0,0,0,0,0,0,0,0,0,0
2.0,13,5,1,1,36,0,0,0,0,0,0,0,0,0,0
2.0,14,5,1,1,43,0,0,0,0,0,0,0,0,0,0
2.0,15,5,1,1,45,0,0,0,0,0,0,0,0,0,0
2.0,16,5,1,1,31,0,0,0,0,0,0,0,0,0,0
2.0,17,5,1,1,44,0,0,0,0,0,0,0,0,0,0
2.0,1,6,1,2,11,0,0,0,0,0,0,0,0,0,0
2.0,2,6,1,2,11,0,0,0,0,0,0,0,0,0,0
2.0,3,6,1,2,18,0,0,0,0,0,0,0,0,0,0
2.0,4,6,1,2,12,0,0,0,0,0,0,0,0,0,0
2.0,5,6,1,2,41,0,0,0,0,0,0,0,0,0,0
2.0,6,6,1,2,43,0,0,0,0,0,0,0,0,0,0
2.0,7,6,1,2,48,0,0,0,0,0,0,0,0,0,0
2.0,8,6,1,2,68,0,0,0,0,0,0,0,0,0,0
2.0,9,6,1,2,49,0,0,0,0,0,0,0,0,0,0
2.0,10,6,1,2,57,0,0,0,0,0,0,0,0,0,0
2.0,11,6,1,2,59,0,0,0,0,0,0,0,0,0,0
2.0,12,6,1,2,49,0,0,0,0,0,0,0,0,0,0
2.0,13,6,1,2,29,0,0,0,0,0,0,0,0,0,0
2.0,14,6,1,2,31,0,0,0,0,0,0,0,0,0,0
2.0,15,6,1,2,36,0,0,0,0,0,0,0,0,0,0
2.0,16,6,1,2,25,0,0,0,0,0,0,0,0,0,0
2.0,17,6,1,2,34,0,0,0,0,0,0,0,0,0,0
2.0,1,7,1,3,8,0,0,0,0,0,0,0,0,0,0
2.0,2,7,1,3,5,0,0,0,0,0,0,0,0,0,0
2.0,3,7,1,3,8,0,0,0,0,0,0,0,0,0,0
2.0,4,7,1,3,15,0,0,0,0,0,0,0,0,0,0
2.0,5,7,1,3,33,0,0,0,0,0,0,0,0,0,0
2.0,6,7,1,3,52,0,0,0,0,0,0,0,0,0,0
2.0,7,7,1,3,50,0,0,0,0,0,0,0,0,0,0
2.0,8,7,1,3,50,0,0,0,0,0,0,0,0,0,0
2.0,9,7,1,3,70,0,0,0,0,0,0,0,0,0,0
2.0,10,7,1,3,55,0,0,0,0,0,0,0,0,0,0
2.0,11,7,1,3,55,0,0,0,0,0,0,0,0,0,0
2.0,12,7,1,3,56,0,0,0,0,0,0,0,0,0,0
2.0,13,7,1,3,35,0,0,0,0,0,0,0,0,0,0
2.0,14,7,1,3,32,0,0,0,0,0,0,0,0,0,0
2.0,15,7,1,3,34,0,0,0,0,0,0,0,0,0,0
2.0,16,7,1,3,24,0,0,0,0,0,0,0,0,0,0
2.0,17,7,1,3,39,0,0,0,0,0,0,0,0,0,0
2.0,1,8,2,0,6,0,0,0,0,0,0,0,0,0,0
2.0,2,8,2,0,10,0,0,0,0,0,0,0,0,0,0
2.0,3,8,2,0,10,0,0,0,0,0,0,0,0,0,0
2.0,4,8,2,0,8,0,0,0,0,0,0,0,0,0,0
2.0,5,8,2,0,43,1,0,0,0,0,0,0,0,0,0
2.0,6,8,2,0,47,0,0,0,0,0,0,0,0,0,0
2.0,7,8,2,0,41,0,0,0,0,0,0,0,0,0,0
2.0,8,8,2,0,55,1,0,0,0,0,0,0,0,0,0
2.0,9,8,2,0,71,0,0,0,0,0,0,0,0,0,0
2.0,10,8,2,0,66,0,0,0,0,0,0,0,0,0,0
2.0,11,8,2,0,61,0,0,0,0,0,0,0,0,0,0
2.0,12,8,2,0,47,0,0,0,0,0,0,0,0,0,0
2.0,13,8,2,0,34,0,0,0,0,0,0,0,0,0,0
2.0,14,8,2,0,33,0,0,0,0,0,0,0,0,0,0
2.0,15,8,2,0,25,0,0,0,0,0,0,0,0,0,0
2.0,16,8,2,0,24,0,0,0,0,0,0,0,0,0,0
2.0,17,8,2,0,38,0,0,0,0,0,0,0,0,0,0
2.0,1,9,2,1,5,0,0,0,0,0,0,0,0,0,0
2.0,2,9,2,1,10,0,0,0,0,0,0,0,0,0,0
2.0,3,9,2,1,12,0,0,0,0,0,0,0,0,0,0
2.0,4,9,2,1,17,0,0,0,0,0,0,0,0,0,0
2.0,5,9,2,1,43,0,0,0,0,0,0,0,0,0,0
2.0,6,9,2,1,39,0,0,0,0,0,0,0,0,0,0
2.0,7,9,2,1,37,0,0,0,0,0,0,0,0,0,0
2.0,8,9,2,1,55,0,0,0,0,0,0,0,0,0,0
2.0,9,9,2,1,77,0,0,0,0,0,0,0,0,0,0
2.0,10,9,2,1,75,0,0,0,0,0,0,0,0,0,0
2.0,11,9,2,1,57,0,0,0,0,0,0,0,0,0,0
2.0,12,9,2,1,48,0,0,0,0,0,0,0,0,0,0
2.0,13,9,2,1,32,0,0,0,0,0,0,0,0,0,0
2.0,14,9,2,1,26,0,0,0,0,0,0,0,0,0,0
2.0,15,9,2,1,31,0,0,0,0,0,0,0,0,0,0
2.0,16,9,2,1,19,0,0,0,0,0,0,0,0,0,0
2.0,17,9,2,1,38,0,0,0,0,0,0,0,0,0,0
2.0,1,10,2,2,7,0,0,0,0,0,0,0,0,0,0
2.0,2,10,2,2,6,0,0,0,0,0,0,0,0,0,0
2.0,3,10,2,2,9,0,0,0,0,0,0,0,0,0,0
2.0,4,10,2,2,14,0,0,0,0,0,0,0,0,0,0
2.0,5,10,2,2,54,0,0,0,0,0,0,0,0,0,0
2.0,6,10,2,2,42,0,0,0,0,0,0,0,0,0,0
2.0,7,10,2,2,48,0,0,0,0,0,0,0,0,0,0
2.0,8,10,2,2,52,0,0,0,0,0,0,0,0,0,0
2.0,9,10,2,2,65,0,0,0,0,0,0,0,0,0,0
2.0,10,10,2,2,65,0,0,0,0,0,0,0,0,0,0
2.0,11,10,2,2,58,0,0,0,0,0,0,0,0,0,0
2.0,12,10,2,2,43,0,0,0,0,0,0,0,0,0,0
2.0,13,10,2,2,28,0,0,0,0,0,0,0,0,0,0
2.0,14,10,2,2,30,0,0,0,0,0,0,0,0,0,0
2.0,15,10,2,2,37,0,0,0,0,0,0,0,0,0,0
2.0,16,10,2,2,20,0,0,0,0,0,0,0,0,0,0
2.0,17,10,2,2,43,0,0,0,0,0,0,0,0,0,0
2.0,1,11,2,3,6,0,0,0,0,0,0,0,0,0,0
2.0,2,11,2,3,14,0,0,0,0,0,0,0,0,0,0
2.0,3,11,2,3,12,0,0,0,0,0,0,0,0,0,0
2.0,4,11,2,3,5,0,0,0,0,0,0,0,0,0,0
2.0,5,11,2,3,42,0,0,0,0,0,0,0,0,0,0
2.0,6,11,2,3,45,0,0,0,0,0,0,0,0,0,0
2.0,7,11,2,3,58,0,0,0,0,0,0,0,0,0,0
2.0,8,11,2,3,64,0,0,0,0,0,0,0,0,0,0
2.0,9,11,2,3,83,0,0,0,0,0,0,0,0,0,0
2.0,10,11,2,3,61,0,0,0,0,0,0,0,0,0,0
2.0,11,11,2,3,43,0,0,0,0,0,0,0,0,0,0
2.0,12,11,2,3,42,0,0,0,0,0,0,0,0,0,0
2.0,13,11,2,3,33,0,0,0,0,0,0,0,0,0,0
2.0,14,11,2,3,23,0,0,0,0,0,0,0,0,0,0
2.0,15,11,2,3,30,0,0,0,0,0,0,0,0,0,0
2.0,16,11,2,3,27,0,0,0,0,0,0,0,0,0,0
2.0,17,11,2,3,33,0,0,0,0,0,0,0,0,0,0
2.0,1,12,3,0,11,0,0,1,0,0,0,0,0,0,0
2.0,2,12,3,0,10,0,0,1,0,0,0,0,0,0,0
2.0,3,12,3,0,5,1,0,0,0,0,0,0,0,0,0
2.0,4,12,3,0,15,1,0,0,0,0,0,0,0,0,0
2.0,5,12,3,0,33,3,0,0,0,0,0,0,0,0,0
2.0,6,12,3,0,39,0,0,0,0,0,0,0,0,0,0
2.0,7,12,3,0,45,3,0,0,1,0,0,0,0,0,0
2.0,8,12,3,0,58,3,0,1,0,0,0,0,0,0,0
2.0,9,12,3,0,54,7,0,1,0,0,0,0,0,0,0
2.0,10,12,3,0,56,4,0,0,0,0,0,0,0,0,0
2.0,11,12,3,0,52,6,0,0,0,0,0,0,0,0,0
2.0,12,12,3,0,59,5,0,0,0,0,0,0,0,0,0
2.0,13,12,3,0,26,3,0,0,0,0,0,0,0,0,0
2.0,14,12,3,0,29,3,0,0,0,0,0,0,0,0,0
2.0,15,12,3,0,27,3,0,2,0,0,0,0,0,0,0
2.0,16,12,3,0,15,2,0,0,0,0,0,0,0,0,0
2.0,17,12,3,0,33,3,0,0,0,0,0,0,0,0,0
2.0,1,13,3,1,9,0,0,0,0,0,0,0,0,0,0
2.0,2,13,3,1,9,0,0,0,0,0,0,0,0,0,0
2.0,3,13,3,1,9,0,0,0,0,0,0,0,0,0,0
2.0,4,13,3,1,26,0,0,0,0,0,0,0,0,0,0
2.0,5,13,3,1,32,0,0,0,0,0,0,0,0,0,0
2.0,6,13,3,1,44,0,0,0,0,0,0,0,0,0,0
2.0,7,13,3,1,51,0,0,0,0,0,0,0,0,0,0
2.0,8,13,3,1,69,0,0,0,0,0,0,0,0,0,0
2.0,9,13,3,1,64,0,0,0,0,0,0,0,0,0,0
2.0,10,13,3,1,58,0,0,0,0,0,0,0,0,0,0
2.0,11,13,3,1,46,0,0,0,0,0,0,0,0,0,0
2.0,12,13,3,1,53,1,0,0,0,0,0,0,0,0,0
2.0,13,13,3,1,33,0,0,0,0,0,0,0,0,0,0
2.0,14,13,3,1,24,1,0,0,0,0,0,0,0,0,0
2.0,15,13,3,1,27,0,0,0,0,0,0,0,0,0,0
2.0,16,13,3,1,28,0,0,0,0,0,0,0,0,0,0
2.0,17,13,3,1,37,0,0,0,0,0,0,0,0,0,0
2.0,1,14,3,2,5,0,0,0,0,0,0,0,0,0,0
2.0,2,14,3,2,7,0,0,0,0,0,0,0,0,0,0
2.0,3,14,3,2,9,0,0,0,0,0,0,0,0,0,0
2.0,4,14,3,2,12,0,0,0,0,0,0,0,0,0,0
2.0,5,14,3,2,34,0,0,0,0,0,0,0,0,0,0
2.0,6,14,3,2,60,0,0,0,0,0,0,0,0,0,0
2.0,7,14,3,2,58,0,0,0,0,0,0,0,0,0,0
2.0,8,14,3,2,53,0,0,0,0,0,0,0,0,0,0
2.0,9,14,3,2,61,0,0,0,0,0,0,0,0,0,0
2.0,10,14,3,2,70,0,0,0,0,0,0,0,0,0,0
2.0,11,14,3,2,53,0,0,0,0,0,0,0,0,0,0
2.0,12,14,3,2,45,0,0,0,0,0,0,0,0,0,0
2.0,13,14,3,2,41,0,0,0,0,0,0,0,0,0,0
2.0,14,14,3,2,28,0,0,0,0,0,0,0,0,0,0
2.0,15,14,3,2,27,0,0,0,0,0,0,0,0,0,0
2.0,16,14,3,2,22,0,0,0,0,0,0,0,0,0,0
2.0,17,14,3,2,36,0,0,0,0,0,0,0,0,0,0
2.0,1,15,3,3,6,0,0,0,0,0,0,0,0,0,0
2.0,2,15,3,3,11,0,0,0,0,0,0,0,0,0,0
2.0,3,15,3,3,7,0,0,0,0,0,0,0,0,0,0
2.0,4,15,3,3,19,0,0,0,0,0,0,0,0,0,0
2.0,5,15,3,3,35,0,0,0,0,0,0,0,0,0,0
2.0,6,15,3,3,31,0,0,0,0,0,0,0,0,0,0
2.0,7,15,3,3,60,0,0,0,0,0,0,0,0,0,0
2.0,8,15,3,3,49,0,0,0,0,0,0,0,0,0,0
2.0,9,15,3,3,75,0,0,0,0,0,0,0,0,0,0
2.0,10,15,3,3,61,0,0,0,0,0,0,0,0,0,0
2.0,11,15,3,3,63,0,0,0,0,0,0,0,0,0,0
2.0,12,15,3,3,50,0,0,0,0,0,0,0,0,0,0
2.0,13,15,3,3,31,0,0,0,0,0,0,0,0,0,0
2.0,14,15,3,3,25,0,0,0,0,0,0,0,0,0,0
2.0,15,15,3,3,34,0,0,0,0,0,0,0,0,0,0
2.0,16,15,3,3,33,0,0,0,0,0,0,0,0,0,0
2.0,17,15,3,3,31,0,0,0,0,0,0,0,0,0,0
3.0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0
3.0,2,0,0,0,10,0,0,0,0,0,0,0,0,0,0
3.0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,0
3.0,4,0,0,0,12,0,0,0,0,0,0,0,0,0,0
3.0,5,0,0,0,33,0,0,0,0,0,0,0,0,0,0
3.0,6,0,0,0,37,0,0,0,0,0,0,0,0,0,0
3.0,7,0,0,0,42,0,0,0,0,0,0,0,0,0,0
